
                      ;
            Název školy          ;
            Poskytování vzdělání          ;
            Volná místa          ;
            Průběžné výsledky          
            Děti ze spádové oblasti:27
Podaných žádostí:53
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            103          ;
            Mateřská škola Brno, Slavíčkova 1, příspěvková organizace          ;
            Slavíčkova 1
          ;
            33          ;
            Děti ze spádové oblasti:23
Podaných žádostí:80
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            104          ;
            Mateřská škola Brno, Slunná 25, příspěvková organizace          ;
            Slunná 25
          ;
            7          ;
            Děti ze spádové oblasti:7
Podaných žádostí:32
Přijatých žáků:2
Nepřijatých žáků:0
Individuální docházka:1
Přerušených řízení:0          

            105          ;
            Mateřská škola Brno, Soukenická 8, PO          ;
            Soukenická 8
          ;
            6          ;
            Děti ze spádové oblasti:14
Podaných žádostí:52
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            106          ;
            Mateřská škola Brno, Šrámkova 14, příspěvková organizace          ;
            Šrámkova 14, 638 00 Brno
          ;
            17          ;
            Děti ze spádové oblasti:15
Podaných žádostí:73
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            107          ;
            Mateřská škola Brno, Šromova 55, příspěvková organizace          ;
            Šromova 55
          ;
            40          ;
            Děti ze spádové oblasti:23
Podaných žádostí:75
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            108          ;
            Základní škola a Mateřská škola, Brno, Staňkova 14, příspěvková organizace          ;
            Staňkova 14
          ;
            38          ;
            Děti ze spádové oblasti:65
Podaných žádostí:94
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            109          ;
            Mateřská škola, Brno, Štolcova 21, příspěvková organizace          ;
            Štolcova 21
          ;
            19          ;
            Děti ze spádové oblasti:31
Podaných žádostí:88
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            110          ;
            Mateřská škola Brno, Štolcova 51, příspěvková organizace          ;
            Štolcova 51
          ;
            5          ;
            Děti ze spádové oblasti:0
Podaných žádostí:26
Přijatých žáků:3
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            111          ;
            Mateřská škola SLUNÍČKO, Brno, Štouračova 23, příspěvková organizace          ;
            Štouračova 23/1249
          ;
            26          ;
            Děti ze spádové oblasti:24
Podaných žádostí:79
Přijatých žáků:1
Nepřijatých žáků:0
Individuální docházka:1
Přerušených řízení:0          

            112          ;
            Mateřská škola SLUNÍČKO, Brno, Strnadova 13, p.o.          ;
            Strnadova 13
          ;
            23          ;
            Děti ze spádové oblasti:33
Podaných žádostí:58
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            113          ;
            Mateřská škola Brno, Švermova 11, příspěvková organizace          ;
            Švermova 11
          ;
            13          ;
            Děti ze spádové oblasti:24
Podaných žádostí:87
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            114          ;
            Mateřská škola, Brno, Synkova 24, příspěvková organizace          ;
            Synkova 24
          ;
            21          ;
            Děti ze spádové oblasti:25
Podaných žádostí:77
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            115          ;
            Mateřská škola Brno, Tišnovská 169, příspěvková organizace          ;
            Tišnovská 169
          ;
            33          ;
            Děti ze spádové oblasti:53
Podaných žádostí:89
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            116          ;
            Mateřská škola, Brno, Trnkova 81, příspěvková organizace          ;
            Trnkova 81
          ;
            17          ;
            Děti ze spádové oblasti:21
Podaných žádostí:57
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            117          ;
            Mateřská škola Brno, Tučkova 36, příspěvková organizace          ;
            Tučkova 36
          ;
            18          ;
            Děti ze spádové oblasti:34
Podaných žádostí:98
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            118          ;
            Mateřská škola Paraplíčko Brno, Tumaňanova 59,příspěvková organizace          ;
            Tumaňanova 59
          ;
            21          ;
            Děti ze spádové oblasti:13
Podaných žádostí:29
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            119          ;
            Mateřská škola Brno, U Lípy Svobody 3, příspěvková organizace          ;
            U Lípy Svobody 3
          ;
            15          ;
            Děti ze spádové oblasti:11
Podaných žádostí:66
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            120          ;
            Mateřská škola Adélka, Brno, U Velké ceny 8, příspěvková organizace          ;
            U Velké ceny 8
          ;
            16          ;
            Děti ze spádové oblasti:29
Podaných žádostí:70
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            121          ;
            Mateřská škola Brno, Údolní 68, příspěvková organizace          ;
            Údolní 155/68
          ;
            20          ;
            Děti ze spádové oblasti:14
Podaných žádostí:146
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            122          ;
            Mateřská škola POD ŠPILBERKEM, Brno, Údolní 9a, příspěvková organizace          ;
            Údolní 9a
          ;
            20          ;
            Děti ze spádové oblasti:43
Podaných žádostí:170
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            123          ;
            Mateřská škola Brno, ulice Kosmonautů 2, příspěvková organizace          ;
            Ulice Kosmonautů 2
          ;
            26          ;
            Děti ze spádové oblasti:22
Podaných žádostí:79
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            124          ;
            Mateřská škola Brno, Úvoz 57, příspěvková organizace          ;
            Úvoz 57
          ;
            22          ;
            Děti ze spádové oblasti:53
Podaných žádostí:123
Přijatých žáků:1
Nepřijatých žáků:0
Individuální docházka:1
Přerušených řízení:0          

            125          ;
            Mateřská škola Brno, Uzbecká 30, příspěvková organizace          ;
            Uzbecká 569/30
          ;
            24          ;
            Děti ze spádové oblasti:21
Podaných žádostí:82
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            126          ;
            Mateřská škola Brno, V Aleji 2, příspěvková organizace          ;
            V Aleji 2/101
          ;
            6          ;
            Děti ze spádové oblasti:11
Podaných žádostí:19
Přijatých žáků:1
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            127          ;
            Mateřská škola, Brno, Vackova 70, příspěvková organizace          ;
            Vackova 70
          ;
            14          ;
            Děti ze spádové oblasti:22
Podaných žádostí:100
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            128          ;
            Základní škola a mateřská škola Brno, Vedlejší 10          ;
            Vedlejší 10
Pod Nemocnicí 25
          ;
            26          ;
            Děti ze spádové oblasti:23
Podaných žádostí:79
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            129          ;
            Mateřská škola Velkopavlovická 15, Brno, příspěvková organizace          ;
            Velkopavlovická 15
          ;
            19          ;
            Děti ze spádové oblasti:26
Podaných žádostí:83
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            130          ;
            Mateřská škola Brno, Veslařská 256, příspěvková organizace          ;
            Veslařská 256
          ;
            10          ;
            Děti ze spádové oblasti:0
Podaných žádostí:49
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            131          ;
            Mateřská škola Brno, Vídeňská 39a, příspěvková organizace          ;
            Vídeňská 39a
          ;
            22          ;
            Děti ze spádové oblasti:32
Podaných žádostí:82
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            132          ;
            Mateřská škola Brno, Vinařská 4, příspěvková organizace          ;
            Vinařská 4
Hlinky
          ;
            44          ;
            Děti ze spádové oblasti:50
Podaných žádostí:81
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            133          ;
            Mateřská škola Brno, Všetičkova 19, příspěvková organizace          ;
            Všetičkova 19
          ;
            17          ;
            Děti ze spádové oblasti:35
Podaných žádostí:77
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            134          ;
            Mateřská škola Brno, Záhumenice 1, příspěvková organizace          ;
            Záhumenice 1
          ;
            21          ;
            Děti ze spádové oblasti:11
Podaných žádostí:38
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            135          ;
            Mateřská škola Brno, Zelná 70, příspěvková organizace          ;
            Zelná 70
          ;
            9          ;
            Děti ze spádové oblasti:22
Podaných žádostí:31
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            136          ;
            Masarykova základní škola a Mateřská škola Brno, Zemědělská 29, příspěvková organizace                       ;
            Zemědělská 29
          ;
            10          ;
            Děti ze spádové oblasti:23
Podaných žádostí:88
Přijatých žáků:3
Nepřijatých žáků:0
Individuální docházka:3
Přerušených řízení:0          

            137          ;
            Mateřská škola Sedmikráska, Brno, Zengrova 3          ;
            Zengrova 3
          ;
            13          ;
            Děti ze spádové oblasti:40
Podaných žádostí:96
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          

            138          ;
            Mateřská škola, Brno, Žižkova 57, příspěvková organizace          ;
            Žižkova 57
          ;
            16          ;
            Děti ze spádové oblasti:37
Podaných žádostí:66
Přijatých žáků:0
Nepřijatých žáků:0
Individuální docházka:0
Přerušených řízení:0          
